Geo_Code,Prov_Name,CMACA_Name,Topic,Characteristic,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
1,Canada,,Population and dwelling counts,Population in 2011,1,33476688,+,,...,,...
1,Canada,,Population and dwelling counts,Population in 2006,1,31612897,+,,...,,...
1,Canada,,Population and dwelling counts,2006 to 2011 population change (%),,5.9,,,...,,...
1,Canada,,Population and dwelling counts,Total private dwellings,2,14569633,,,...,,...
1,Canada,,Population and dwelling counts,Private dwellings occupied by usual residents,3,13320614,,,...,,...
1,Canada,,Population and dwelling counts,Population density per square kilometre,,3.7,,,...,,...
1,Canada,,Population and dwelling counts,Land area (square km),,8965121.42,,,...,,...
1,Canada,,Age characteristics,Total population by age groups,4,33476685,,16414225,,17062460,
1,Canada,,Age characteristics,   0 to 4 years,,1877095,,961150,,915945,
1,Canada,,Age characteristics,   5 to 9 years,,1809895,,925965,,883935,
1,Canada,,Age characteristics,   10 to 14 years,,1920355,,983995,,936360,
1,Canada,,Age characteristics,   15 to 19 years,,2178135,,1115845,,1062295,
1,Canada,,Age characteristics,      15 years,,423755,,216765,,206985,
1,Canada,,Age characteristics,      16 years,,432490,,222445,,210045,
1,Canada,,Age characteristics,      17 years,,434060,,223015,,211045,
1,Canada,,Age characteristics,      18 years,,439700,,225050,,214650,
1,Canada,,Age characteristics,      19 years,,448130,,228570,,219560,
1,Canada,,Age characteristics,   20 to 24 years,,2187450,,1108775,,1078670,
1,Canada,,Age characteristics,   25 to 29 years,,2169590,,1077275,,1092315,
1,Canada,,Age characteristics,   30 to 34 years,,2162905,,1058810,,1104095,
1,Canada,,Age characteristics,   35 to 39 years,,2173930,,1064200,,1109735,
1,Canada,,Age characteristics,   40 to 44 years,,2324875,,1141720,,1183155,
1,Canada,,Age characteristics,   45 to 49 years,,2675130,,1318715,,1356420,
1,Canada,,Age characteristics,   50 to 54 years,,2658965,,1309030,,1349940,
1,Canada,,Age characteristics,   55 to 59 years,,2340635,,1147300,,1193335,
1,Canada,,Age characteristics,   60 to 64 years,,2052670,,1002690,,1049985,
1,Canada,,Age characteristics,   65 to 69 years,,1521715,,738010,,783705,
1,Canada,,Age characteristics,   70 to 74 years,,1153065,,543435,,609630,
1,Canada,,Age characteristics,   75 to 79 years,,922700,,417945,,504755,
1,Canada,,Age characteristics,   80 to 84 years,,702070,,291085,,410985,
1,Canada,,Age characteristics,   85 years and over,,645515,,208300,,437215,
1,Canada,,Marital status,Total population 15 years and over by marital status,6,27869340,,13543130,,14326215,
1,Canada,,Marital status,   Married or living with a common-law partner,,16084490,,8045795,,8038700,
1,Canada,,Marital status,      Married (and not separated),,12941960,,6470300,,6471660,
1,Canada,,Marital status,      Living common law,,3142525,,1575495,,1567035,
1,Canada,,Marital status,   Not married and not living with a common-law partner,,11784855,,5497335,,6287515,
1,Canada,,Marital status,      Single (never legally married),,7816045,,4206320,,3609730,
1,Canada,,Marital status,      Separated,,698240,,299655,,398585,
1,Canada,,Marital status,      Divorced,,1686035,,680415,,1005620,
1,Canada,,Marital status,      Widowed,,1584530,,310940,,1273590,
10,Newfoundland and Labrador,,Population and dwelling counts,Population in 2011,1,514536,,,...,,...
10,Newfoundland and Labrador,,Population and dwelling counts,Population in 2006,1,505469,,,...,,...
10,Newfoundland and Labrador,,Population and dwelling counts,2006 to 2011 population change (%),,1.8,,,...,,...
10,Newfoundland and Labrador,,Population and dwelling counts,Total private dwellings,2,250275,,,...,,...
10,Newfoundland and Labrador,,Population and dwelling counts,Private dwellings occupied by usual residents,3,208842,,,...,,...
10,Newfoundland and Labrador,,Population and dwelling counts,Population density per square kilometre,,1.4,,,...,,...
10,Newfoundland and Labrador,,Population and dwelling counts,Land area (square km),,370510.76,,,...,,...
10,Newfoundland and Labrador,,Age characteristics,Total population by age groups,4,514535,,250570,,263970,
10,Newfoundland and Labrador,,Age characteristics,   0 to 4 years,,24495,,12620,,11875,
10,Newfoundland and Labrador,,Age characteristics,   5 to 9 years,,25105,,12845,,12260,
10,Newfoundland and Labrador,,Age characteristics,   10 to 14 years,,27035,,13795,,13235,
10,Newfoundland and Labrador,,Age characteristics,   15 to 19 years,,29590,,15175,,14410,
10,Newfoundland and Labrador,,Age characteristics,      15 years,,5780,,2940,,2845,
10,Newfoundland and Labrador,,Age characteristics,      16 years,,5845,,3020,,2825,
10,Newfoundland and Labrador,,Age characteristics,      17 years,,5905,,3075,,2830,
10,Newfoundland and Labrador,,Age characteristics,      18 years,,6000,,3060,,2940,
10,Newfoundland and Labrador,,Age characteristics,      19 years,,6060,,3085,,2980,
10,Newfoundland and Labrador,,Age characteristics,   20 to 24 years,,30050,,15075,,14975,
10,Newfoundland and Labrador,,Age characteristics,   25 to 29 years,,28305,,13605,,14705,
10,Newfoundland and Labrador,,Age characteristics,   30 to 34 years,,29275,,13840,,15435,
10,Newfoundland and Labrador,,Age characteristics,   35 to 39 years,,33375,,15895,,17480,
10,Newfoundland and Labrador,,Age characteristics,   40 to 44 years,,38015,,18385,,19630,
10,Newfoundland and Labrador,,Age characteristics,   45 to 49 years,,42225,,20545,,21680,
10,Newfoundland and Labrador,,Age characteristics,   50 to 54 years,,43185,,21075,,22110,
10,Newfoundland and Labrador,,Age characteristics,   55 to 59 years,,42645,,20950,,21695,
10,Newfoundland and Labrador,,Age characteristics,   60 to 64 years,,39135,,19235,,19895,
10,Newfoundland and Labrador,,Age characteristics,   65 to 69 years,,28740,,14100,,14645,
10,Newfoundland and Labrador,,Age characteristics,   70 to 74 years,,20115,,9775,,10340,
10,Newfoundland and Labrador,,Age characteristics,   75 to 79 years,,14620,,6750,,7875,
10,Newfoundland and Labrador,,Age characteristics,   80 to 84 years,,10075,,4110,,5965,
10,Newfoundland and Labrador,,Age characteristics,   85 years and over,,8560,,2800,,5755,
10,Newfoundland and Labrador,,Marital status,Total population 15 years and over by marital status,6,437910,,211305,,226600,
10,Newfoundland and Labrador,,Marital status,   Married or living with a common-law partner,,273040,,136440,,136600,
10,Newfoundland and Labrador,,Marital status,      Married (and not separated),,231745,,115840,,115905,
10,Newfoundland and Labrador,,Marital status,      Living common law,,41295,,20605,,20690,
10,Newfoundland and Labrador,,Marital status,   Not married and not living with a common-law partner,,164865,,74865,,90000,
10,Newfoundland and Labrador,,Marital status,      Single (never legally married),,107375,,56945,,50425,
10,Newfoundland and Labrador,,Marital status,      Separated,,8705,,3755,,4950,
10,Newfoundland and Labrador,,Marital status,      Divorced,,19855,,8545,,11315,
10,Newfoundland and Labrador,,Marital status,      Widowed,,28935,,5620,,23315,
11,Prince Edward Island,,Population and dwelling counts,Population in 2011,1,140204,,,...,,...
11,Prince Edward Island,,Population and dwelling counts,Population in 2006,1,135851,,,...,,...
11,Prince Edward Island,,Population and dwelling counts,2006 to 2011 population change (%),,3.2,,,...,,...
11,Prince Edward Island,,Population and dwelling counts,Total private dwellings,2,66943,,,...,,...
11,Prince Edward Island,,Population and dwelling counts,Private dwellings occupied by usual residents,3,56462,,,...,,...
11,Prince Edward Island,,Population and dwelling counts,Population density per square kilometre,,24.7,,,...,,...
11,Prince Edward Island,,Population and dwelling counts,Land area (square km),,5685.73,,,...,,...
11,Prince Edward Island,,Age characteristics,Total population by age groups,4,140205,,67605,,72605,
11,Prince Edward Island,,Age characteristics,   0 to 4 years,,7275,,3680,,3590,
11,Prince Edward Island,,Age characteristics,   5 to 9 years,,7390,,3700,,3685,
11,Prince Edward Island,,Age characteristics,   10 to 14 years,,8395,,4320,,4080,
11,Prince Edward Island,,Age characteristics,   15 to 19 years,,9650,,4930,,4720,
11,Prince Edward Island,,Age characteristics,      15 years,,1950,,1005,,940,
11,Prince Edward Island,,Age characteristics,      16 years,,1905,,985,,915,
11,Prince Edward Island,,Age characteristics,      17 years,,1870,,950,,915,
11,Prince Edward Island,,Age characteristics,      18 years,,1925,,965,,965,
11,Prince Edward Island,,Age characteristics,      19 years,,2005,,1020,,985,
11,Prince Edward Island,,Age characteristics,   20 to 24 years,,8765,,4325,,4440,
11,Prince Edward Island,,Age characteristics,   25 to 29 years,,7300,,3540,,3765,
11,Prince Edward Island,,Age characteristics,   30 to 34 years,,7585,,3560,,4025,
11,Prince Edward Island,,Age characteristics,   35 to 39 years,,8435,,4015,,4420,
11,Prince Edward Island,,Age characteristics,   40 to 44 years,,9485,,4535,,4955,
11,Prince Edward Island,,Age characteristics,   45 to 49 years,,11230,,5430,,5800,
11,Prince Edward Island,,Age characteristics,   50 to 54 years,,11155,,5320,,5830,
11,Prince Edward Island,,Age characteristics,   55 to 59 years,,10550,,5140,,5405,
11,Prince Edward Island,,Age characteristics,   60 to 64 years,,10205,,4970,,5235,
11,Prince Edward Island,,Age characteristics,   65 to 69 years,,7170,,3500,,3670,
11,Prince Edward Island,,Age characteristics,   70 to 74 years,,5400,,2610,,2790,
11,Prince Edward Island,,Age characteristics,   75 to 79 years,,4295,,1930,,2370,
11,Prince Edward Island,,Age characteristics,   80 to 84 years,,2935,,1210,,1720,
11,Prince Edward Island,,Age characteristics,   85 years and over,,2995,,890,,2105,
11,Prince Edward Island,,Marital status,Total population 15 years and over by marital status,6,117145,,55905,,61245,
11,Prince Edward Island,,Marital status,   Married or living with a common-law partner,,69795,,34825,,34970,
11,Prince Edward Island,,Marital status,      Married (and not separated),,60625,,30255,,30370,
11,Prince Edward Island,,Marital status,      Living common law,,9175,,4570,,4600,
11,Prince Edward Island,,Marital status,   Not married and not living with a common-law partner,,47350,,21080,,26275,
11,Prince Edward Island,,Marital status,      Single (never legally married),,30495,,15900,,14590,
