Geo_Code,Prov_Name,CMACA_Name,Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,   
1,Newfoundland and Labrador,St. John's,Population and dwelling counts,Population in 2011,1,196966,,,...,,...,   
1,Newfoundland and Labrador,St. John's,Population and dwelling counts,Population in 2006,1,181113,,,...,,...,   
1,Newfoundland and Labrador,St. John's,Population and dwelling counts,2006 to 2011 population change (%),,8.8,,,...,,...,   
1,Newfoundland and Labrador,St. John's,Population and dwelling counts,Total private dwellings,2,84542,,,...,,...,   
1,Newfoundland and Labrador,St. John's,Population and dwelling counts,Private dwellings occupied by usual residents,3,78960,,,...,,...,   
1,Newfoundland and Labrador,St. John's,Population and dwelling counts,Population density per square kilometre,,244.8,,,...,,...,   
1,Newfoundland and Labrador,St. John's,Population and dwelling counts,Land area (square km),,804.65,,,...,,...,   
1,Newfoundland and Labrador,St. John's,Age characteristics,Total population by age groups,4,196965,,94730,,102230,,   
1,Newfoundland and Labrador,St. John's,Age characteristics,   0 to 4 years,,10725,,5440,,5285,,   
1,Newfoundland and Labrador,St. John's,Age characteristics,   5 to 9 years,,10225,,5285,,4945,,   
1,Newfoundland and Labrador,St. John's,Age characteristics,   10 to 14 years,,10300,,5280,,5015,,   
1,Newfoundland and Labrador,St. John's,Age characteristics,   15 to 19 years,,11325,,5660,,5660,,   
1,Newfoundland and Labrador,St. John's,Age characteristics,      15 years,,2170,,1085,,1090,,   
1,Newfoundland and Labrador,St. John's,Age characteristics,      16 years,,2130,,1100,,1030,,   
1,Newfoundland and Labrador,St. John's,Age characteristics,      17 years,,2120,,1060,,1055,,   
1,Newfoundland and Labrador,St. John's,Age characteristics,      18 years,,2330,,1160,,1170,,   
1,Newfoundland and Labrador,St. John's,Age characteristics,      19 years,,2570,,1260,,1315,,   
1,Newfoundland and Labrador,St. John's,Age characteristics,   20 to 24 years,,15210,,7535,,7670,,   
1,Newfoundland and Labrador,St. John's,Age characteristics,   25 to 29 years,,14605,,7100,,7505,,   
1,Newfoundland and Labrador,St. John's,Age characteristics,   30 to 34 years,,13850,,6630,,7220,,   
1,Newfoundland and Labrador,St. John's,Age characteristics,   35 to 39 years,,14075,,6790,,7275,,   
1,Newfoundland and Labrador,St. John's,Age characteristics,   40 to 44 years,,14650,,7010,,7635,,   
1,Newfoundland and Labrador,St. John's,Age characteristics,   45 to 49 years,,15835,,7525,,8310,,   
1,Newfoundland and Labrador,St. John's,Age characteristics,   50 to 54 years,,15130,,7295,,7835,,   
1,Newfoundland and Labrador,St. John's,Age characteristics,   55 to 59 years,,14020,,6725,,7300,,   
1,Newfoundland and Labrador,St. John's,Age characteristics,   60 to 64 years,,11970,,5750,,6220,,   
1,Newfoundland and Labrador,St. John's,Age characteristics,   65 to 69 years,,8745,,4150,,4600,,   
1,Newfoundland and Labrador,St. John's,Age characteristics,   70 to 74 years,,5970,,2785,,3185,,   
1,Newfoundland and Labrador,St. John's,Age characteristics,   75 to 79 years,,4290,,1795,,2490,,   
1,Newfoundland and Labrador,St. John's,Age characteristics,   80 to 84 years,,3120,,1125,,1995,,   
1,Newfoundland and Labrador,St. John's,Age characteristics,   85 years and over,,2930,,855,,2080,,   
1,Newfoundland and Labrador,St. John's,Marital status,Total population 15 years and over by marital status,6,165720,,78730,,86980,,   
1,Newfoundland and Labrador,St. John's,Marital status,   Married or living with a common-law partner,,95185,,47545,,47635,,   
1,Newfoundland and Labrador,St. John's,Marital status,      Married (and not separated),,78885,,39405,,39475,,   
1,Newfoundland and Labrador,St. John's,Marital status,      Living common-law,,16300,,8140,,8160,,   
1,Newfoundland and Labrador,St. John's,Marital status,   Not married and not living with a common-law partner,,70535,,31190,,39345,,   
1,Newfoundland and Labrador,St. John's,Marital status,      Single (never legally married),,48870,,24710,,24165,,   
1,Newfoundland and Labrador,St. John's,Marital status,      Separated,,3770,,1495,,2280,,   
1,Newfoundland and Labrador,St. John's,Marital status,      Divorced,,9010,,3410,,5595,,   
1,Newfoundland and Labrador,St. John's,Marital status,      Widowed,,8880,,1580,,7305,,   
205,Nova Scotia,Halifax,Population and dwelling counts,Population in 2011,1,390328,,,...,,...,   
205,Nova Scotia,Halifax,Population and dwelling counts,Population in 2006,1,372858,,,...,,...,   
205,Nova Scotia,Halifax,Population and dwelling counts,2006 to 2011 population change (%),,4.7,,,...,,...,   
205,Nova Scotia,Halifax,Population and dwelling counts,Total private dwellings,2,177295,,,...,,...,   
205,Nova Scotia,Halifax,Population and dwelling counts,Private dwellings occupied by usual residents,3,165153,,,...,,...,   
205,Nova Scotia,Halifax,Population and dwelling counts,Population density per square kilometre,,71,,,...,,...,   
205,Nova Scotia,Halifax,Population and dwelling counts,Land area (square km),,5495.71,,,...,,...,   
205,Nova Scotia,Halifax,Age characteristics,Total population by age groups,4,390325,,188700,,201630,,   
205,Nova Scotia,Halifax,Age characteristics,   0 to 4 years,,19965,,10265,,9705,,   
205,Nova Scotia,Halifax,Age characteristics,   5 to 9 years,,19160,,9775,,9380,,   
205,Nova Scotia,Halifax,Age characteristics,   10 to 14 years,,20495,,10525,,9970,,   
205,Nova Scotia,Halifax,Age characteristics,   15 to 19 years,,23890,,12055,,11835,,   
205,Nova Scotia,Halifax,Age characteristics,      15 years,,4495,,2210,,2285,,   
205,Nova Scotia,Halifax,Age characteristics,      16 years,,4490,,2285,,2200,,   
205,Nova Scotia,Halifax,Age characteristics,      17 years,,4540,,2325,,2210,,   
205,Nova Scotia,Halifax,Age characteristics,      18 years,,4945,,2555,,2390,,   
205,Nova Scotia,Halifax,Age characteristics,      19 years,,5420,,2675,,2745,,   
205,Nova Scotia,Halifax,Age characteristics,   20 to 24 years,,31245,,15640,,15610,,   
205,Nova Scotia,Halifax,Age characteristics,   25 to 29 years,,28405,,13990,,14420,,   
205,Nova Scotia,Halifax,Age characteristics,   30 to 34 years,,25930,,12485,,13445,,   
205,Nova Scotia,Halifax,Age characteristics,   35 to 39 years,,26500,,12750,,13750,,   
205,Nova Scotia,Halifax,Age characteristics,   40 to 44 years,,27830,,13270,,14560,,   
205,Nova Scotia,Halifax,Age characteristics,   45 to 49 years,,33120,,16185,,16935,,   
205,Nova Scotia,Halifax,Age characteristics,   50 to 54 years,,31565,,15270,,16295,,   
205,Nova Scotia,Halifax,Age characteristics,   55 to 59 years,,27195,,12880,,14315,,   
205,Nova Scotia,Halifax,Age characteristics,   60 to 64 years,,23920,,11440,,12485,,   
205,Nova Scotia,Halifax,Age characteristics,   65 to 69 years,,16820,,8040,,8780,,   
205,Nova Scotia,Halifax,Age characteristics,   70 to 74 years,,11860,,5480,,6380,,   
205,Nova Scotia,Halifax,Age characteristics,   75 to 79 years,,9140,,4055,,5080,,   
205,Nova Scotia,Halifax,Age characteristics,   80 to 84 years,,6630,,2625,,4005,,   
205,Nova Scotia,Halifax,Age characteristics,   85 years and over,,6655,,1980,,4675,,   
205,Nova Scotia,Halifax,Marital status,Total population 15 years and over by marital status,6,330710,,158140,,172575,,   
205,Nova Scotia,Halifax,Marital status,   Married or living with a common-law partner,,185745,,92865,,92880,,   
205,Nova Scotia,Halifax,Marital status,      Married (and not separated),,151835,,75905,,75925,,   
205,Nova Scotia,Halifax,Marital status,      Living common-law,,33910,,16955,,16950,,   
205,Nova Scotia,Halifax,Marital status,   Not married and not living with a common-law partner,,144965,,65275,,79695,,   
205,Nova Scotia,Halifax,Marital status,      Single (never legally married),,99260,,50845,,48415,,   
205,Nova Scotia,Halifax,Marital status,      Separated,,9375,,3980,,5395,,   
205,Nova Scotia,Halifax,Marital status,      Divorced,,19500,,7210,,12290,,   
205,Nova Scotia,Halifax,Marital status,      Widowed,,16830,,3240,,13595,,   
305,New Brunswick,Moncton,Population and dwelling counts,Population in 2011,1,138644,,,...,,...,   
305,New Brunswick,Moncton,Population and dwelling counts,Population in 2006,1,126424,,,...,,...,   
305,New Brunswick,Moncton,Population and dwelling counts,2006 to 2011 population change (%),,9.7,,,...,,...,   
305,New Brunswick,Moncton,Population and dwelling counts,Total private dwellings,2,62403,,,...,,...,   
305,New Brunswick,Moncton,Population and dwelling counts,Private dwellings occupied by usual residents,3,58294,,,...,,...,   
305,New Brunswick,Moncton,Population and dwelling counts,Population density per square kilometre,,57.6,,,...,,...,   
305,New Brunswick,Moncton,Population and dwelling counts,Land area (square km),,2406.31,,,...,,...,   
305,New Brunswick,Moncton,Age characteristics,Total population by age groups,4,138645,,67510,,71130,,   
305,New Brunswick,Moncton,Age characteristics,   0 to 4 years,,7410,,3750,,3660,,   
305,New Brunswick,Moncton,Age characteristics,   5 to 9 years,,7015,,3615,,3405,,   
305,New Brunswick,Moncton,Age characteristics,   10 to 14 years,,7040,,3630,,3410,,   
305,New Brunswick,Moncton,Age characteristics,   15 to 19 years,,8140,,4055,,4090,,   
305,New Brunswick,Moncton,Age characteristics,      15 years,,1565,,770,,795,,   
305,New Brunswick,Moncton,Age characteristics,      16 years,,1540,,770,,775,,   
305,New Brunswick,Moncton,Age characteristics,      17 years,,1615,,820,,795,,   
305,New Brunswick,Moncton,Age characteristics,      18 years,,1655,,830,,825,,   
305,New Brunswick,Moncton,Age characteristics,      19 years,,1765,,860,,905,,   
305,New Brunswick,Moncton,Age characteristics,   20 to 24 years,,9310,,4630,,4680,,   
305,New Brunswick,Moncton,Age characteristics,   25 to 29 years,,9780,,4860,,4920,,   
305,New Brunswick,Moncton,Age characteristics,   30 to 34 years,,9700,,4805,,4895,,   
305,New Brunswick,Moncton,Age characteristics,   35 to 39 years,,10040,,4915,,5120,,   
305,New Brunswick,Moncton,Age characteristics,   40 to 44 years,,9800,,4940,,4865,,   
305,New Brunswick,Moncton,Age characteristics,   45 to 49 years,,11160,,5460,,5700,,   
305,New Brunswick,Moncton,Age characteristics,   50 to 54 years,,10415,,5080,,5340,,   
305,New Brunswick,Moncton,Age characteristics,   55 to 59 years,,9695,,4720,,4970,,   
305,New Brunswick,Moncton,Age characteristics,   60 to 64 years,,8870,,4295,,4580,,   
305,New Brunswick,Moncton,Age characteristics,   65 to 69 years,,6295,,3055,,3245,,   
